,CustomerID,TotalSpending,AverageSpending,TransactionCount,Recency,Cluster
0,12346.0,0.0,0.0,2,325,1
1,12347.0,4310.0,23.68131868131868,182,1,0
2,12348.0,1797.24,57.97548387096774,31,74,0
3,12349.0,1757.55,24.076027397260273,73,18,0
4,12350.0,334.4,19.670588235294115,17,309,1
5,12352.0,1545.41,16.267473684210525,95,35,0
6,12353.0,89.0,22.25,4,203,1
7,12354.0,1079.4,18.610344827586207,58,231,1
8,12355.0,459.4,35.33846153846154,13,213,1
9,12356.0,2811.43,47.65135593220339,59,22,0
10,12357.0,6207.67,47.38679389312977,131,32,0
11,12358.0,1168.06,61.47684210526315,19,1,0
12,12359.0,6245.53,24.588700787401574,254,7,0
13,12360.0,2662.06,20.63612403100775,129,51,0
14,12361.0,189.9,18.99,10,286,1
15,12362.0,5154.58,18.812335766423356,274,2,0
16,12363.0,552.0,24.0,23,109,0
17,12364.0,1313.1,15.448235294117646,85,7,0
18,12365.0,320.69,13.94304347826087,23,290,1
19,12367.0,168.9,15.354545454545455,11,3,0
20,12370.0,3545.69,21.231676646706585,167,50,0
21,12371.0,1887.96,29.96761904761905,63,44,0
22,12372.0,1298.04,24.962307692307693,52,71,0
23,12373.0,364.6,26.042857142857144,14,310,1
24,12374.0,742.9300000000001,22.513030303030305,33,24,0
25,12375.0,455.42,25.301111111111112,18,2,0
26,12377.0,1628.12,21.144415584415583,77,314,1
27,12378.0,4008.62,18.30420091324201,219,129,0
28,12379.0,850.29,20.73878048780488,41,81,0
29,12380.0,2720.56,25.91009523809524,105,21,0
30,12381.0,1803.96,19.823736263736265,91,4,0
31,12383.0,1839.31,18.3931,100,184,1
32,12384.0,566.16,18.872,30,28,0
33,12386.0,401.9,40.19,10,337,1
34,12388.0,2780.66,27.8066,100,15,0
35,12390.0,549.84,17.1825,32,79,0
36,12391.0,460.89,4.6089,100,21,0
37,12393.0,1582.6,24.728125,64,71,0
38,12394.0,1272.48,47.12888888888889,27,63,0
39,12395.0,2998.28,18.85710691823899,159,15,0
40,12397.0,2409.9,19.126190476190477,126,35,0
41,12398.0,1635.66,19.24305882352941,85,45,0
42,12399.0,1108.65,18.790677966101697,59,118,0
43,12401.0,84.3,16.86,5,302,1
44,12402.0,225.6,20.509090909090908,11,322,1
45,12403.0,409.7,68.28333333333333,6,49,0
46,12405.0,1710.39,31.67388888888889,54,148,1
47,12406.0,3280.75,30.377314814814813,108,21,0
48,12407.0,1708.12,22.183376623376624,77,49,0
